longitude,latitude,median_house_value,ocean_proximity,region,rooms_per_house,bedrooms_per_room
-122.23,37.88,452600.0,NEAR BAY,Bay Area,6.984126984126984,0.14659090909090908
-122.22,37.86,358500.0,NEAR BAY,Bay Area,6.238137082601054,0.15579659106916466
-122.24,37.85,352100.0,NEAR BAY,Bay Area,8.288135593220339,0.12951601908657123
-122.25,37.85,341300.0,NEAR BAY,Bay Area,5.8173515981735155,0.18445839874411302
-122.25,37.85,342200.0,NEAR BAY,Bay Area,6.281853281853282,0.1720958819913952
-122.25,37.85,269700.0,NEAR BAY,Bay Area,4.761658031088083,0.23177366702937977
-122.25,37.84,299200.0,NEAR BAY,Bay Area,4.9319066147859925,0.19289940828402366
-122.25,37.84,241400.0,NEAR BAY,Bay Area,4.797527047913447,0.22132731958762886
-122.26,37.84,226700.0,NEAR BAY,Bay Area,4.294117647058823,0.2602739726027397
-122.25,37.84,261100.0,NEAR BAY,Bay Area,4.970588235294118,0.1992110453648915
-122.26,37.85,281500.0,NEAR BAY,Bay Area,5.477611940298507,0.19709355131698456
-122.26,37.85,241800.0,NEAR BAY,Bay Area,4.772479564032698,0.2146731373108764
-122.26,37.85,213500.0,NEAR BAY,Bay Area,5.322649572649572,0.1902850260939382
-122.26,37.84,191300.0,NEAR BAY,Bay Area,4.0,0.2744252873563218
-122.26,37.85,159200.0,NEAR BAY,Bay Area,4.262903225806451,0.23685206205069997
-122.26,37.85,140000.0,NEAR BAY,Bay Area,4.242424242424242,0.2526785714285714
-122.27,37.85,152500.0,NEAR BAY,Bay Area,5.9395770392749245,0.17650050864699898
-122.27,37.85,155500.0,NEAR BAY,Bay Area,4.052805280528053,0.23859934853420195
-122.26,37.84,158700.0,NEAR BAY,Bay Area,5.343675417661098,0.20321572130415363
-122.27,37.84,162900.0,NEAR BAY,Bay Area,5.465454545454546,0.19827012641383898
-122.27,37.85,147500.0,NEAR BAY,Bay Area,4.524096385542169,0.24500665778961384
-122.27,37.85,159800.0,NEAR BAY,Bay Area,4.478142076502732,0.2239170225747407
-122.27,37.84,113900.0,NEAR BAY,Bay Area,5.096234309623431,0.22208538587848933
